,"Регион","Округ","Кол-во реализуемых направлений государственной молодeжной политики","Суммарное кол-во грантов","Суммарный бюджет грантов, руб","Cуммарное кол-во детских и молодeжных общественных объединений","Средняя численность молодeжи, задействованной в программном мероприятии","Cуммарное кол-во структур","Всего кол-во сотрудников","С профильным образованием всего","Объeм финансирования","Расходы на мероприятия","Расходы на административные функции","Расходы на ремонт","Количество новостей, опубликованных от региона в сфере государственной молодeжной политики","Количество упоминаний регионального органа исполнительной власти","Количество просмотров оф. сайта","Численность подписчиков и участников в соц. сетях","Количество публикаций в соц. сетях","Кол-во пользователей, посетивших оф. сайт","Упоминания в печатных СМИ","Количество статей, опубликованных региональным органом исполнительной власти","Количество статей, опубликованных в печатном издании субъекта","Финансирование информационного освещения","Кол-во упоминаний в ТВ-сюжетах","Кол-во упоминаний в интернет-СМИ","Cуммарное кол-во региональных объединений, ед","Cуммарное число членов региональных объединений","Cуммарное число уч-в мер-й рег. объединений, чел","Cуммарный объeм фин. поддержки региональных объединений","Кол-во школ","Кол-во СПО","Кол-во вузов","Число учащихся школ","Число учащихся СПО","Число учащихся вузов","Cуммарное кол-во органов самоуправления","Суммарный объем финанс-я ОМСУ","Cуммарный объем финанс-я УССУ","Кол-во форумов, прошедших на территории субъекта","Численность участников форумов","Объeм регионального финансирования","Кол-во госуд. учр. на территории субъекта, работающих с добровольцами (волонтерами)","Число граждан, вовлеченных в добровольческую деятельность на тер. субъекта","Число граждан, вовлеченных центрами поддержки добровольчества на базе образовательных организаций","Кол-во региональных ресурсных центров поддержки добровольчества на тер. субъекта"
52,Республика Калмыкия,ЮФО,0,0,0,452,2770,38,266,62,57082714,5751410,51331304,0,9,150,57140,8213,1236,19328,50,10,57,0,50,50,18,5100,10000,0,98,16,9,16000,2000,3700,110,0,16000,6,600,0,37,5000,18300,1
53,Хабаровский край,ДФО,10,60,21196118,4484,19310,64,1444,128,1357029814,421050430,882132022,53847362,10,650,47124,3890,650,155950,40,0,62,1694500,160,450,53,47255,47255,0,843,66,60,52810,4960,34895,301,62775,119097,30,7010,98798000,16,10810,60920,3
54,Архангельская область,СЗФО,15,240,38519129,9522,23128,66,508,202,1165682458,523840878,302853626,338987954,16,13926,886688,49791,3641,18554,583,50,206,5000000,196,13147,53,7482,128250,30136713,913,125,86,59685,6112,4078,545,10000,0,42,4486,11025270,123,9998,66474,1
55,Калининградская область,СЗФО,10,59,20220995,1037,9694,88,890,18,841616652,399055996,368466176,74094480,2,162,458342,42932,983,90346,0,15,0,900000,11,151,92,40154,31557,5743434,311,0,0,20073,0,0,202,566287,17312438,26,3082,30724552,56,5918,71074,1
56,Республика Дагестан,СКФО,0,30,4001300,732,55629,124,472,60,275493926,208963834,64118812,2411280,5,4730,203000,47300,5300,47000,230,213,40,0,200,4300,116,4500,4000,0,922,30,24,138000,10000,30000,297,0,246000,54,4240,33008000,28,1616,7189,1
57,Республика Крым,ЮФО,10,84,141021668,1448,54810,84,696,2,781522418,562254544,168914208,50353666,7,291,32634,8873,3026,5241,139,21,43,3700000,27,125,13,5197,1684998,0,490,113,24,49313,3669,16215,481,155500,500000,52,18104,153694346,343,26000,128042,2
58,Воронежская область,ЦФО,17,115,38114105,7634,45463,96,402,36,264027822,91093046,170981176,1953600,54,7894,125504,97238,7636,21393,217,56,21,130000,41,7636,48,8206,12844,20399812,1147,114,183,127080,18796,83912,815,77622,1200000,40,37556,49859624,1379,9750,185176,5
59,Новгородская область,СЗФО,12,40,6071967,31,18376,76,368,216,262621916,40840938,198518254,23262724,111,639,121179,14174,2378,24471,140,123,71,503535,141,358,25,15266,136557,6842009,454,53,17,13456,3983,1350,235,68000,0,42,2850,2269288,83,4500,42232,2
60,Амурская область,ДФО,1,19,1631750,1864,19419,70,242,10,187908958,46299374,115585150,26024434,1,281,298900,2998,359,5881,45,1,32,0,54,182,84,4728,38581,180000,550,63,87,32274,3695,5020,225,875883,595000,56,7672,3587406,530,24718,48086,3
61,Томская область,СФО,11,103,22186323,8393,17073,40,140,36,102369238,83020646,19348592,0,26,165,999695,11700,4100,91452,33,140,28,1679726,40,92,59,1763,25723,1806677,567,32,157,33410,1120,12628,134,0,5710553,22,4080,12436294,567,5902,36458,2
62,Удмуртская Республика,ПФО,16,103,78453478,669,21454,104,1438,484,735278220,437281328,281779146,16217746,31,568,3858573,20881,1450,55478,26,112,154,0,50,492,41,79358,227904,35479150,636,166,175,37372,8450,12000,460,379716,10325600,62,6922,9921578,384,10724,42969,5
63,Ивановская область,ЦФО,6,34,2719060,3320,18980,94,784,26,285411592,54048780,181402700,49960112,0,1750,2804785,2881,3420,745629,184,0,0,0,218,1348,21,20632,67728,0,476,71,13,20128,2120,5633,224,28000,50000,42,5826,2000000,447,4869,50783,1
